RQ000001,"{'-汽油-115-MT-两驱': '4650x1835x1715,1735'}"
RQ000061,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x2105'}"
RQ000062,{'1.0-汽油-39-MT-两驱': '4595x1560x2360'}
RQ000063,{'1.0-汽油-45-MT-两驱': '3895x1600x1878'}
RQ000064,{'1.0-汽油-39-MT-两驱': '4320x1475x1810'}
RQ000065,"{'1.0-汽油-51-MT-两驱': '5050,5400,5300x1760x2070,2035'}"
RQ000066,"{'1.0-汽油-51-MT-两驱': '5050,5400x1760x2070'}"
RQ000067,"{'1.0-汽油-51-MT-两驱': '4545,4745,4995x1650x2455,2555'}"
RQ000068,"{'1.0-汽油-51-MT-两驱': '4840,4640x1635x2460,2610,2480,2630'}"
RQ000069,"{'1.0-汽油-51-MT-两驱': '4860,4660x1635x2490,2640'}"
RQ000070,"{'1.0-汽油-39-MT-两驱': '4440,4250x1560x2500'}"
RQ000071,{'1.0-汽油-39-MT-两驱': '3725x1560x2140'}
RQ000072,{'2.5-柴油-60-MT-两驱': '5390x1968x2800'}
RQ000073,"{'1.0-汽油-51-MT-两驱': '3845x1500,1580x2105'}"
RQ000074,"{'1.0-汽油-39-MT-两驱': '4638x1635x1890,1950'}"
RQ000075,{'1.0-汽油-39-MT-两驱': '4638x1635x1890'}
RQ000076,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x1900'}"
RQ000077,{'1.0-汽油-39-MT-两驱': '4335x1560x2150'}
RQ000078,"{'1.0--46-MT-两驱': '4040,4070x1560x1925,1910'}"
RQ000079,{'1.0--46-MT-两驱': '4040x1560x1925'}
RQ000080,"{'1.0-汽油-51-MT-两驱': '4410,4390,4435x1560x2555,2520'}"
RQ000081,"{'1.0-汽油-51-MT-两驱': '4410,4390x1560x2555,2520'}"
RQ000082,{'1.0-汽油-51-MT-两驱': '4410x1560x2555'}
RQ000083,{'1.0-汽油-50.7-MT-两驱': '4320x1475x1810'}
RQ000084,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2070,2025'}"
RQ000085,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2070'}"
RQ000086,"{'1.0-汽油-51-MT-两驱': '4830,5030,5280,5380x1580x2360,2460'}"
RQ000087,"{'1.0-汽油-39-MT-两驱': '4080,3880x1485x1810,1850'}"
RQ000088,{'1.0-汽油-39-MT-两驱': '3725x1560x1895'}
RQ000089,"{'1.0-汽油-51-MT-两驱': '5050,5300,5400x1700x2460,2415,2515'}"
RQ000090,"{'1.0-汽油-51-MT-两驱': '4790,4870,5170,5250,5050,5300,5400x1670,1700x2460,2415,2515'}"
RQ000091,"{'1.0-汽油-51-MT-两驱': '4790,4870,5170,5250x1670,1700x2460'}"
RQ000092,{'2.5-柴油-60-MT-两驱': '5390x1968x2800'}
RQ000093,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x1900'}"
RQ000094,"{'1.0-汽油-47-MT-两驱': '4638x1635x1890,1950'}"
RQ000095,{'1.0-汽油-47-MT-两驱': '4638x1635x1890'}
RQ000096,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x2105'}"
RQ000097,{'1.0-汽油-39-MT-两驱': '4040x1560x2070'}
RQ000098,"{'1.0--46-MT-两驱': '4040,4070x1560x1925,2085,1910'}"
RQ000099,"{'1.0--46-MT-两驱': '4040x1560x1925,2085'}"
RQ000100,"{'1.0-汽油-50.7-MT-两驱': '4795,4650x1690x2010'}"
RQ000101,"{'1.0-汽油-51-MT-两驱': '5050,5400,5300x1760x2515,2415,2385,2485'}"
RQ000102,"{'1.0-汽油-51-MT-两驱': '5050,5400x1760x2515,2415'}"
RQ000103,"{'1.0-汽油-51-MT-两驱': '4545,4745,4995x1580x2470,2570'}"
RQ000104,"{'1.0-汽油-39-MT-两驱': '4380x1520x1855,1860'}"
RQ000105,{'1.0-汽油-39-MT-两驱': '3650x1547x1950'}
RQ000106,"{'1.0-汽油-39-MT-两驱': '4510x1560x1860,1890'}"
RQ000107,{'1.0-汽油-39-MT-两驱': '4510x1560x1860'}
RQ000108,{'1.0-汽油-39-MT-两驱': '4410x1560x1860'}
RQ000109,{'2.5-柴油-60-MT-两驱': '5390x1910x2800'}
RQ000110,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x2145'}"
RQ000111,"{'1.0-汽油-39-MT-两驱': '4538,4638x1635x1890,1950'}"
RQ000112,{'1.0-汽油-39-MT-两驱': '4538x1635x1890'}
RQ000113,"{'1.0-汽油-39-MT-两驱': '3860x1500,1580x2105'}"
RQ000114,{'1.0-汽油-39-MT-两驱': '4070x1560x2105'}
RQ000115,{'1.0-汽油-51-MT-两驱': '3905x1635x1950'}
RQ000116,"{'1.0-汽油-46-MT-两驱': '4040,4070x1560x1925,1910'}"
RQ000117,{'1.0-汽油-46-MT-两驱': '4040x1560x1925'}
RQ000118,"{'1.0-汽油-51-MT-两驱': '4170,3970x1560x2490,2510'}"
RQ000119,"{'1.0-汽油-51-MT-两驱': '4170,3970x1560x2490'}"
RQ000120,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2515,2615,2485,2585'}"
RQ000121,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2515,2615'}"
RQ000122,"{'1.0-汽油-51-MT-两驱': '4390,4435x1560x1825,1855,1830,1865'}"
RQ000123,"{'1.0-汽油-51-MT-两驱': '4390x1560x1825,1855,1830,1865'}"
RQ000124,{'0.8-汽油-38-MT-两驱': '3520x1570x1490'}
RQ000125,"{'1.0-汽油-39-MT-两驱': '4370x1475x2315,2465'}"
RQ000126,{'4.0-汽油-202-AT-四驱': '5170x1975x1930'}
RQ000127,{'3.5-汽油-188-AT-两驱': '5015x1880x1475'}
RQ000128,{'1.0-汽油-39-MT-两驱': '4565x1560x2490'}
RQ000129,{'2.5-柴油-60-MT-两驱': '5390x1968x2180'}
RQ000130,"{'1.0-汽油-39-MT-两驱': '3600,3900x1400x1715'}"
RQ000131,"{'1.0-汽油-39-MT-两驱': '4150,3950x1560x1825,1855'}"
RQ000132,"{'1.0-汽油-39-MT-两驱': '4150,3950x1560x1825'}"
RQ000133,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x2105'}"
RQ000134,{'1.0-汽油-39-MT-两驱': '3795x1560x2070'}
RQ000135,{'1.0-汽油-50.7-MT-两驱': '4390x1520x2340'}
RQ000136,"{'1.0-汽油-51-MT-两驱': '5050,5400,5300x1700x2545,2445,2415,2515'}"
RQ000137,"{'1.0-汽油-51-MT-两驱': '5050,5400x1700x2545,2445'}"
RQ000138,{'1.0-汽油-74-MT-两驱': '4500x1680x2000'}
RQ000139,{'0.8-汽油-38-MT-两驱': '3520x1570x1490'}
RQ000140,{'1.0-汽油-39-MT-两驱': '3965x1580x2120'}
RQ000141,{'4.0-汽油-202-AT-四驱': '5170x1975x1930'}
RQ000142,"{'3.8-汽油-146-MT-四驱': '4830,4915x1895,1940x1885'}"
RQ000143,"{'3.5-柴油-82-MT-两驱': '5995x1980,2090,2150x2270'}"
RQ000144,"{'3.5-柴油-82-MT-两驱': '5995x1980,2090x2270'}"
RQ000145,{'1.0-汽油-39-MT-两驱': '4015x1585x1920'}
RQ000146,{'4.3-汽油-206-AT-两驱': '4965x1795x1485'}
RQ000147,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2000,2025'}"
RQ000148,"{'1.0-汽油-51-MT-两驱': '4570,4650,5170,5250,4900x1670,1700,1760x2000,2025'}"
RQ000149,"{'1.0-汽油-51-MT-两驱': '4570,4650,5170,5250x1670,1700x2000'}"
RQ000150,"{'2.5-柴油-60-MT-两驱': '5465,5495x1920x2285'}"
RQ000151,{'2.5-柴油-60-MT-两驱': '5465x1920x2285'}
RQ000152,"{'1.0-汽油-39-MT-两驱': '4080x1485x1810,1850'}"
RQ000153,"{'1.0-汽油-39-MT-两驱': '4150x1560x1825,1855'}"
RQ000154,{'1.0-汽油-39-MT-两驱': '4150x1560x1825'}
RQ000155,"{'1.0-汽油-39-MT-两驱': '3860x1500,1580x2105'}"
RQ000156,{'1.0-汽油-39-MT-两驱': '3795x1560x1925'}
RQ000157,{'1.0-汽油-46-MT-两驱': '4070x1560x1910'}
RQ000158,"{'1.0-汽油-51-MT-两驱': '3795,3995x1560x1925,2085'}"
RQ000159,{'1.0-汽油-51-MT-两驱': '3795x1560x1925'}
RQ000160,{'1.0-汽油-39-MT-两驱': '4350x1475x2330'}
RQ000161,"{'1.0-汽油-51-MT-两驱': '4900,5250x1700x2545,2645,2515,2615'}"
RQ000162,"{'1.0-汽油-51-MT-两驱': '4900,5250x1700x2545,2645'}"
RQ000163,"{'1.0-汽油-51-MT-两驱': '3795x1560x1925,2085'}"
RQ000164,"{'1.0-汽油-51-MT-两驱': '4410,4430,4465x1560x2455,2605,2385,2525'}"
RQ000165,"{'1.0-汽油-51-MT-两驱': '4410,4430x1560x2455,2605,2385,2525'}"
RQ000166,"{'1.0-汽油-51-MT-两驱': '4410x1560x2455,2605'}"
RQ000167,{'0.8-汽油-38-MT-两驱': '3520x1570x1490'}
RQ000168,"{'1.0-汽油-39-MT-两驱': '3900,4100x1475x2140'}"
RQ000169,{'3.5-汽油-201-AT-四驱': '4795x1910x1760'}
RQ000170,{'3.3-柴油-75-MT-两驱': '5990x2200x3100'}
RQ000171,"{'3.3-柴油-85-MT-两驱': '5995x1910,2000,2060x2250'}"
RQ000172,{'3.3-柴油-79-MT-两驱': '5995x2080x3030'}
RQ000173,"{'3.3-柴油-80-MT-两驱': '5150x1800,1900,2000x2750'}"
RQ000174,"{'3.8-汽油-146-AT-四驱': '4830,4915x1895,1940x1885'}"
RQ000175,"{'3.5-柴油-82-MT-两驱': '5995x1960,2070,2150x2990,3150'}"
RQ000176,"{'3.5-柴油-82-MT-两驱': '5995x1960,2070,2150x2990'}"
RQ000177,"{'3.5-柴油-82-MT-两驱': '5995x1960,2070x2990'}"
RQ000178,"{'1.0-汽油-39-MT-两驱': '3860,4000x1485,1475x1870'}"
RQ000179,{'4.3-汽油-208-AT-两驱': '5005x1810x1475'}
RQ000180,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2530,2485,2585'}"
RQ000181,"{'1.0-汽油-51-MT-两驱': '4570,4650,5170,5250,4900x1670,1700,1760x2530,2485,2585'}"
RQ000182,"{'1.0-汽油-51-MT-两驱': '4570,4650,5170,5250x1670,1700x2530'}"
RQ000183,{'2.5-柴油-60-MT-两驱': '5185x1920x2285'}
RQ000184,"{'1.0-汽油-50.7-MT-两驱': '3845x1500,1580x1900'}"
RQ000185,"{'1.0-汽油-39-MT-两驱': '4390x1560x2410,2560'}"
RQ000186,{'1.0-汽油-39-MT-两驱': '3525x1650x1550'}
RQ000187,{'1.0-汽油-39-MT-两驱': '4390x1560x2490'}
RQ000188,{'1.0-汽油-46-MT-两驱': '4070x1560x1910'}
RQ000189,{'1.0-汽油-50.7-MT-两驱': '4450x1535x2400'}
RQ000190,"{'1.0-汽油-51-MT-两驱': '5050,5400,5300x1760x2070,2035'}"
RQ000191,"{'1.0-汽油-51-MT-两驱': '5050,5400x1760x2070'}"
RQ000192,"{'1.0-汽油-51-MT-两驱': '4040,4070x1560x1925,2085,1910'}"
RQ000193,"{'1.0-汽油-51-MT-两驱': '4040x1560x1925,2085'}"
RQ000194,{'1.0-汽油-51-MT-两驱': '4040x1560x1925'}
RQ000195,"{'0.8-汽油-26.5-MT-两驱': '3300,3340x1405,1500x1410,1480,1400'}"
RQ000196,"{'0.8-汽油-26.5-MT-两驱': '3300x1405x1410,1480'}"
RQ000197,{'1.0-汽油-39-MT-两驱': '3965x1480x1865'}
RQ000198,{'3.5-汽油-230-CVT-两驱': '4930x1795x1475'}
RQ000199,{'3.5-汽油-201-AT-四驱': '4795x1910x1760'}
RQ000200,{'3.3-柴油-75-MT-两驱': '5990x2200x3100'}
RQ000201,"{'3.3-柴油-85-MT-两驱': '5995x1910,2000,2060x2900'}"
RQ000202,"{'3.3-柴油-79-MT-两驱': '5995,5440,5645x2020,2120,1930x2230,2280'}"
RQ000203,"{'3.3-柴油-79-MT-两驱': '5995,5440x2020,2120,1930x2230'}"
RQ000204,"{'3.3-柴油-79-MT-两驱': '5995x2020,2120,1930x2230'}"
RQ000205,"{'3.3-柴油-79-MT-两驱': '5995x2020,2120x2230'}"
RQ000206,"{'3.3-柴油-80-MT-两驱': '5430x1800,1900,2000x2750'}"
RQ000207,"{'3.8-汽油-146-MT-四驱': '4830,4915x1895,1940x1885,2085'}"
RQ000208,"{'3.5-柴油-82-MT-两驱': '5995x1980,2090,2150x2990,3150'}"
RQ000209,"{'3.5-柴油-82-MT-两驱': '5995x1980,2090,2150x2990'}"
RQ000210,{'1.0-汽油-39-MT-两驱': '4390x1560x2410'}
RQ000211,{'4.3-汽油-208-AT-两驱': '5005x1810x1475'}
RQ000212,"{'2.5-柴油-60-MT-两驱': '5465,5495x1920x2285'}"
RQ000213,{'2.5-柴油-60-MT-两驱': '5465x1920x2285'}
RQ000214,"{'1.0-汽油-39-MT-两驱': '4080x1485x1810,1850'}"
RQ000215,"{'1.0-汽油-39-MT-两驱': '4775,4880x1690,1700x2080'}"
RQ000216,{'1.0-汽油-39-MT-两驱': '4775x1690x2080'}
RQ000217,{'1.0-汽油-39-MT-两驱': '4390x1475x1870'}
RQ000218,{'1.0-汽油-39-MT-两驱': '4040x1560x1925'}
RQ000219,{'1.0-汽油-51-MT-两驱': '3640x1560x1925'}
RQ000220,"{'1.0-汽油-46-MT-两驱': '4600x1560x1840,1875'}"
RQ000221,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2070,2025'}"
RQ000222,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2070'}"
RQ000223,{'1.0-汽油-51-MT-两驱': '4135x1590x1925'}
RQ000224,"{'0.8-汽油-27.5-MT-两驱': '3300,3340x1405,1500x1410,1480'}"
RQ000225,"{'1.0-汽油-50.7-MT-两驱': '4080,3880x1485x1810,1850'}"
RQ000226,"{'3.2-柴油-79-MT-两驱': '5995x2030,1970x2900'}"
RQ000227,{'3.0-柴油-130-AT-四驱': '4830x1860x1830'}
RQ000228,{'3.0-汽油-185-AT-两驱': '4695x1815x1825'}
RQ000229,"{'3.0-汽油-190-AT-两驱': '5256x1878x1772,1800'}"
RQ000230,{'3.3-柴油-75-MT-两驱': '5995x2000x2300'}
RQ000231,"{'3.3-柴油-85-MT-两驱': '5995x1910,2000,2060x2900'}"
RQ000232,"{'3.3-柴油-79-MT-两驱': '5995,5440,5430x2020,2120,1930x2230,2280'}"
RQ000233,"{'3.3-柴油-79-MT-两驱': '5995,5440x2020,2120,1930x2230'}"
RQ000234,"{'3.3-柴油-79-MT-两驱': '5995x2020,2120,1930x2230'}"
RQ000235,"{'3.3-柴油-79-MT-两驱': '5995x2020,2120x2230'}"
RQ000236,"{'3.3-柴油-80-MT-两驱': '5150x1800,1900,2000x2750'}"
RQ000237,"{'3.8-汽油-146-AT-四驱': '4830,4915x1895,1940x1885'}"
RQ000238,"{'3.5-柴油-82-MT-两驱': '5995x1980,2090x2990,3150'}"
RQ000239,"{'3.5-柴油-82-MT-两驱': '5995x1980,2090x2990'}"
RQ000240,{'4.7-汽油-202-AT-四驱': '5170x1970x1945'}
RQ000241,"{'1.0-汽油-39-MT-两驱': '4080x1485x1810,1850'}"
RQ000242,"{'2.5-柴油-60-MT-两驱': '5995x1960,2030x2200'}"
RQ000243,"{'1.0-汽油-50.7-MT-两驱': '3845x1500,1580x1900'}"
RQ000244,"{'1.0-汽油-39-MT-两驱': '4545,4650x1690,1700x2590'}"
RQ000245,{'1.0-汽油-39-MT-两驱': '4545x1690x2590'}
RQ000246,{'1.0-汽油-39-MT-两驱': '4390x1475x1870'}
RQ000247,"{'1.0-汽油-39-MT-两驱': '3905,4100x1635x1950,2100'}"
RQ000248,{'1.0-汽油-39-MT-两驱': '3905x1635x1950'}
RQ000249,{'1.0-汽油-46-MT-两驱': '4600x1560x2520'}
RQ000250,"{'1.0-汽油-39-MT-两驱': '3600,3900x1400,1445x1715'}"
RQ000251,"{'1.0-汽油-39-MT-两驱': '3600,3900x1400x1715'}"
RQ000252,"{'1.0-汽油-51-MT-两驱': '5050,5400,5300x1760x2515,2415,2385,2485'}"
RQ000253,"{'1.0-汽油-51-MT-两驱': '5050,5400x1760x2515,2415'}"
RQ000254,{'1.0-汽油-50.7-MT-两驱': '4660x1620x2415'}
RQ000255,"{'0.8-汽油-27.5-MT-两驱': '3300x1405x1410,1480'}"
RQ000256,"{'1.0-汽油-51-MT-两驱': '4080,3880x1485x1810,1850'}"
RQ000257,"{'3.2-柴油-91-MT-两驱': '5995x2100,2260x2300,2260,2400'}"
RQ000258,"{'3.2-柴油-91-MT-两驱': '5995x2100x2300,2260,2400'}"
RQ000259,{'3.2-柴油-80-MT-两驱': '5820x1907x2151'}
RQ000260,{'3.0-柴油-130-AT-两驱': '4830x1860x1830'}
RQ000261,{'3.0-汽油-185-AT-四驱': '4695x1815x1840'}
RQ000262,{'3.3-柴油-75-MT-两驱': '5995x2000x2300'}
RQ000263,"{'3.3-柴油-85-MT-两驱': '5995x1910,2000x3200'}"
RQ000264,{'3.3-柴油-79-MT-两驱': '5995x2080x2990'}
RQ000265,"{'3.3-柴油-80-MT-两驱': '5430x1800,1900,2000x2750'}"
RQ000266,"{'3.8-汽油-146-AT-四驱': '4830,4915x1895,1940x1885'}"
RQ000267,{'4.7-汽油-202-AT-四驱': '5170x1970x1945'}
RQ000268,{'1.0-汽油-39-MT-两驱': '4435x1560x2380'}
RQ000269,{'4.3-汽油-206-AT-两驱': '4965x1795x1485'}
RQ000270,"{'2.5-柴油-60-MT-两驱': '5995x1960,2030x2275'}"
RQ000271,"{'1.0-汽油-39-MT-两驱': '4380x1520x1860,1885'}"
RQ000272,"{'1.0-汽油-39-MT-两驱': '4775,4880x1690,1700x2490'}"
RQ000273,{'1.0-汽油-39-MT-两驱': '4775x1690x2490'}
RQ000274,{'1.0-汽油-39-MT-两驱': '4320x1475x1810'}
RQ000275,"{'1.0-汽油-39-MT-两驱': '4390x1560x2410,2560'}"
RQ000276,"{'1.0-汽油-51-MT-两驱': '4595,4565,4675,4630x1560x2410,2560,2320,2350,2300,2810,2520'}"
RQ000277,"{'1.0-汽油-51-MT-两驱': '4595,4565,4675x1560x2410,2560,2320,2350,2300,2810'}"
RQ000278,"{'1.0-汽油-51-MT-两驱': '4595,4565x1560x2410,2560,2320,2350,2300'}"
RQ000279,"{'1.0-汽油-51-MT-两驱': '4595x1560x2410,2560'}"
RQ000280,"{'1.0-汽油-46-MT-两驱': '4630x1560x2410,2560'}"
RQ000281,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2515,2615,2485,2585'}"
RQ000282,"{'1.0-汽油-51-MT-两驱': '4900,5250x1760x2515,2615'}"
RQ000283,"{'1.0-汽油-50.7-MT-两驱': '4715x1620,1660x2450'}"
RQ000284,"{'0.8-汽油-27.5-MT-两驱': '3300x1405x1410,1480'}"
RQ000285,"{'1.0-汽油-50.7-MT-两驱': '3860,4000x1485,1475x1870'}"
RQ000286,{'3.0-汽油-245-AT-两驱': '5031x1854x1477'}
RQ000287,"{'3.2-柴油-91-MT-两驱': '5995x2100,2260x2300,2260,2400'}"
RQ000288,"{'3.2-柴油-91-MT-两驱': '5995x2100x2300,2260,2400'}"
RQ000289,{'3.0-汽油-165-AT-两驱': '5223x1901x1872'}
RQ000290,{'3.0-汽油-167-AT-两驱': '4750x1795x1450'}
RQ000291,{'3.2-柴油-80-MT-两驱': '5810x1907x2165'}
RQ000292,{'3.0-柴油-130-AT-四驱': '4830x1860x1830'}
RQ000293,"{'3.5-汽油-206-AT-四驱': '4840x1885x1880,1890'}"
RQ000294,{'3.3-柴油-75-MT-两驱': '5995x2000x2300'}
RQ000295,"{'3.3-柴油-85-MT-两驱': '5995x1910,2000x3200'}"
RQ000296,{'3.3-柴油-79-MT-两驱': '5995x2080x3030'}
RQ000297,"{'3.3-柴油-80-MT-两驱': '5150x1800,1900,2000x2750'}"
RQ000298,"{'3.8-汽油-146-AT-四驱': '4830,4915x1895,1940x1885,2085'}"
RQ000299,{'3.6-汽油-190-AT-两驱': '5110x1844x1465'}
RQ000300,{'4.7-汽油-202-AT-四驱': '5150x1970x1945'}
RQ000301,"{'1.0-汽油-39-MT-两驱': '4460,4280x1560x2440'}"
RQ000302,"{'2.5-柴油-60-MT-两驱': '5995x1960,2030x2020'}"
RQ000303,"{'1.0-汽油-39-MT-两驱': '4380x1520x1860,1885'}"
RQ000304,"{'1.0-汽油-39-MT-两驱': '4775,4880x1690,1700x2490'}"
RQ000305,{'1.0-汽油-39-MT-两驱': '4775x1690x2490'}
RQ000306,{'1.0-汽油-39-MT-两驱': '4650x1690x2020'}
RQ000307,{'1.0-汽油-39-MT-两驱': '4150x1560x2150'}
RQ000308,"{'1.0-汽油-46-MT-两驱': '3960x1560x1825,1855'}"
RQ000309,{'1.0-汽油-39-MT-两驱': '3940x1560x1940'}
RQ000310,"{'1.0-汽油-51-MT-两驱': '5050,5400,5300x1700x2545,2445,2415,2515'}"
RQ000311,"{'1.0-汽油-51-MT-两驱': '5050,5400x1700x2545,2445'}"
RQ000312,{'1.0-汽油-51-MT-两驱': '4135x1590x1925'}
RQ000313,{'0.8-汽油-27.5-MT-两驱': '3300x1405x1480'}
RQ000314,"{'1.0-汽油-51-MT-两驱': '3860,4000x1485,1475x1870'}"
RQ000315,{'3.0-汽油-245-AT-四驱': '5031x1854x1477'}
RQ000316,"{'3.2-柴油-91-MT-两驱': '5995x2100,2260x3100,3020'}"
RQ000317,"{'3.2-柴油-91-MT-两驱': '5995x2100x3100,3020'}"
RQ000318,"{'3.0-汽油-165-AT-两驱': '4993x1901x1937,1875'}"
RQ000319,{'3.0-汽油-165-AT-两驱': '4993x1901x1937'}
RQ000320,{'3.0-汽油-167-AT-两驱': '5005x1810x1505'}
RQ000321,{'3.2-柴油-80-MT-两驱': '5820x1907x2151'}
RQ000322,"{'3.0-柴油-96-MT-两驱': '5418,5524x1690x1700'}"
RQ000323,"{'3.0-柴油-96-MT-两驱': '5418,5524x1690x1620'}"
RQ000324,"{'3.5-汽油-206-AT-四驱': '5010x1885x1880,1890'}"
RQ000325,"{'3.3-柴油-75-MT-两驱': '5995x2000x3000,3190'}"
RQ000326,{'3.3-柴油-79-MT-两驱': '5995x2096x3020'}
RQ000327,"{'3.3-柴油-80-MT-两驱': '5430x1800,1900,2000x2750'}"
RQ000328,"{'3.8-汽油-146-MT-四驱': '4830,4915x1895,1940x1885'}"
RQ000329,"{'3.6-汽油-234-AT-两驱': '5120x1845x1479,1505'}"
