dp_0001,Alpina进口AlpinaB4,3.0,2,301,4638,F32
dp_0031,奥迪汽车进口奥迪A3,1.4,5,92,4292,8PA
dp_0032,奥迪汽车进口奥迪A3,1.4,5,92,4319,8V1
dp_0033,奥迪汽车进口奥迪A3,1.4,5,110,4319,8VA
dp_0034,奥迪汽车进口奥迪A3,1.4,5,110,4321,8VA
dp_0035,奥迪汽车进口奥迪A3,1.6,3,75,4153,8L1
dp_0036,奥迪汽车进口奥迪A3,1.6,5,75,4153,8L1
dp_0037,奥迪汽车进口奥迪A3,1.6,5,75,4153,8PA
dp_0038,奥迪汽车进口奥迪A3,1.6,3,75,4204,8P1
dp_0039,奥迪汽车进口奥迪A3,1.6,3,75,4237,8P1
dp_0040,奥迪汽车进口奥迪A3,1.6,5,75,4290,8PA
dp_0041,奥迪汽车进口奥迪A3,1.6,3,77,4239,8P1
dp_0042,奥迪汽车进口奥迪A3,1.6,5,77,4239,8PA
dp_0043,奥迪汽车进口奥迪A3,1.6,3,85,4204,8P1
dp_0044,奥迪汽车进口奥迪A3,1.6,5,85,4285,8PA
dp_0045,奥迪汽车进口奥迪A3,1.8,3,92,4153,8L1
dp_0046,奥迪汽车进口奥迪A3,1.8,5,92,4153,8L1
dp_0047,奥迪汽车进口奥迪A3,1.8,3,110,4153,8L1
dp_0048,奥迪汽车进口奥迪A3,1.8,5,110,4153,8L1
dp_0049,奥迪汽车进口奥迪A3,1.8,2,118,4239,8P7
dp_0050,奥迪汽车进口奥迪A3,1.8,3,118,4239,8P1
dp_0051,奥迪汽车进口奥迪A3,1.8,5,118,4290,8PA
dp_0052,奥迪汽车进口奥迪A3,1.8,5,118,4292,8PA
dp_0053,奥迪汽车进口奥迪A3,1.8,4,125,4466,8VS
dp_0054,奥迪汽车进口奥迪A3,1.8,5,132,4153,8L1
dp_0055,奥迪汽车进口奥迪A3,1.8,5,132,4324,8VA
dp_0056,奥迪汽车进口奥迪A3,1.8,2,132,4430,8V7
dp_0057,奥迪汽车进口奥迪A3,1.8,4,132,4466,8VS
dp_0058,奥迪汽车进口奥迪A3,1.8,5,154,4158,8L
dp_0059,奥迪汽车进口奥迪A3,1.8,5,165,4158,8L
dp_0060,奥迪汽车进口奥迪A3,1.9,3,66,4153,8L1
dp_0061,奥迪汽车进口奥迪A3,1.9,5,66,4153,8L1
dp_0062,奥迪汽车进口奥迪A3,1.9,3,77,4204,8P1
dp_0063,奥迪汽车进口奥迪A3,1.9,2,77,4239,8P7
dp_0064,奥迪汽车进口奥迪A3,1.9,3,77,4239,8P1
dp_0065,奥迪汽车进口奥迪A3,1.9,5,77,4285,8PA
dp_0066,奥迪汽车进口奥迪A3,1.9,5,77,4290,8PA
dp_0067,奥迪汽车进口奥迪A3,1.9,3,81,4153,8L1
dp_0068,奥迪汽车进口奥迪A3,1.9,5,81,4153,8L1
dp_0069,奥迪汽车进口奥迪A3,1.9,3,96,4153,8L1
dp_0070,奥迪汽车进口奥迪A3,2.0,3,103,4204,8P1
dp_0071,奥迪汽车进口奥迪A3,2.0,2,103,4239,8P7
dp_0072,奥迪汽车进口奥迪A3,2.0,3,103,4239,8P1
dp_0073,奥迪汽车进口奥迪A3,2.0,5,103,4285,8PA
dp_0074,奥迪汽车进口奥迪A3,2.0,5,103,4290,8PA
dp_0075,奥迪汽车进口奥迪A3,2.0,3,110,4204,8P1
dp_0076,奥迪汽车进口奥迪A3,2.0,5,110,4285,8PA
dp_0077,奥迪汽车进口奥迪A3,2.0,3,125,4204,8P1
dp_0078,奥迪汽车进口奥迪A3,2.0,3,125,4239,8P1
dp_0079,奥迪汽车进口奥迪A3,2.0,5,125,4239,8PA
dp_0080,奥迪汽车进口奥迪A3,2.0,5,125,4285,8PA
dp_0081,奥迪汽车进口奥迪A3,2.0,5,140,4436,8V7
dp_0082,奥迪汽车进口奥迪A3,2.0,3,147,4214,8P1
dp_0083,奥迪汽车进口奥迪A3,2.0,2,147,4239,8P7
dp_0084,奥迪汽车进口奥迪A3,2.0,3,147,4239,8P1
dp_0085,奥迪汽车进口奥迪A3,2.0,5,147,4239,8PA
dp_0086,奥迪汽车进口奥迪A3,2.0,5,147,4285,8PA
dp_0087,奥迪汽车进口奥迪A3,2.0,5,147,4290,8PA
dp_0088,奥迪汽车进口奥迪A3,2.0,5,162,4324,8VA
dp_0089,奥迪汽车进口奥迪A3,2.0,4,162,4471,8VS
dp_0090,奥迪汽车进口奥迪A3,2.0,5,195,4204,8P
dp_0091,奥迪汽车进口奥迪A3,2.0,4,210,4472,8VS
dp_0092,奥迪汽车进口奥迪A3,2.0,4,213,4474,8VS
dp_0093,奥迪汽车进口奥迪A3,2.5,5,250,4303,8P
dp_0094,奥迪汽车进口奥迪A3,2.5,4,294,4479,8VS
dp_0095,奥迪汽车进口奥迪A3,3.2,3,184,4204,8P1
dp_0096,奥迪汽车进口奥迪A3,3.2,3,184,4239,8P1
dp_0097,奥迪汽车进口奥迪A3,3.2,5,184,4285,8PA
dp_0098,奥迪汽车进口奥迪A4,1.6,4,74,4481,B5(8D)
dp_0099,奥迪汽车进口奥迪A4,1.6,4,75,4587,B7(8EC)
dp_0100,奥迪汽车进口奥迪A4,1.6,4,75,4590,B6(8E2)
dp_0101,奥迪汽车进口奥迪A4,1.8,4,88,4704,B8(8K)
dp_0102,奥迪汽车进口奥迪A4,1.8,4,92,4481,B5(8D)
dp_0103,奥迪汽车进口奥迪A4,1.8,4,110,4481,B5(8D)
dp_0104,奥迪汽车进口奥迪A4,1.8,4,110,4587,B6(8E2)
dp_0105,奥迪汽车进口奥迪A4,1.8,4,118,4704,B8(8K)
dp_0106,奥迪汽车进口奥迪A4,1.8,4,120,4587,B6(8E2)
dp_0107,奥迪汽车进口奥迪A4,1.8,4,120,4587,B7(8EC)
dp_0108,奥迪汽车进口奥迪A4,1.8,4,125,4481,B5(8D)
dp_0109,奥迪汽车进口奥迪A4,1.8,4,125,4587,B6(8E2)
dp_0110,奥迪汽车进口奥迪A4,1.8,4,125,4704,B8(8K)
dp_0111,奥迪汽车进口奥迪A4,1.8,4,140,4587,B6(8E2)
dp_0112,奥迪汽车进口奥迪A4,1.9,4,66,4481,B5(8D)
dp_0113,奥迪汽车进口奥迪A4,1.9,4,81,4481,B5(8D)
dp_0114,奥迪汽车进口奥迪A4,1.9,4,85,4587,B5(8D)
dp_0115,奥迪汽车进口奥迪A4,1.9,4,85,4587,B6(8E2)
dp_0116,奥迪汽车进口奥迪A4,1.9,4,85,4587,B7(8EC)
dp_0117,奥迪汽车进口奥迪A4,1.9,4,96,4587,B6(8E2)
dp_0118,奥迪汽车进口奥迪A4,2.0,4,96,4548,B6(8E2)
dp_0119,奥迪汽车进口奥迪A4,2.0,4,96,4587,B6(8E2)
dp_0120,奥迪汽车进口奥迪A4,2.0,4,96,4587,B7(8EC)
dp_0121,奥迪汽车进口奥迪A4,2.0,4,103,4587,B7(8EC)
dp_0122,奥迪汽车进口奥迪A4,2.0,4,105,4704,B8(8K)
dp_0123,奥迪汽车进口奥迪A4,2.0,4,110,4587,B6(8E2)
dp_0124,奥迪汽车进口奥迪A4,2.0,4,125,4587,B7(8EC)
dp_0125,奥迪汽车进口奥迪A4,2.0,4,132,4587,B8(8K)
dp_0126,奥迪汽车进口奥迪A4,2.0,4,147,4587,B7(8EC)
dp_0127,奥迪汽车进口奥迪A4,2.0,4,155,4587,B8(8K)
dp_0128,奥迪汽车进口奥迪A4,2.0,5,155,4721,B8(8K)
dp_0129,奥迪汽车进口奥迪A4,2.0,4,162,4587,B7(8EC)
dp_0130,奥迪汽车进口奥迪A4,2.0,5,162,4721,B8(8K)
dp_0131,奥迪汽车进口奥迪A4,2.0,5,165,4721,B8(8K)
dp_0132,奥迪汽车进口奥迪A4,2.0,5,185,4750,B9(8W)
dp_0133,奥迪汽车进口奥迪A4,2.4,4,121,4481,B5(8D)
dp_0134,奥迪汽车进口奥迪A4,2.4,4,125,4587,B6(8E2)
dp_0135,奥迪汽车进口奥迪A4,2.5,4,110,4481,B5(8D)
dp_0136,奥迪汽车进口奥迪A4,2.5,4,114,4587,B6(8E2)
dp_0137,奥迪汽车进口奥迪A4,2.5,4,120,4587,B6(8E2)
dp_0138,奥迪汽车进口奥迪A4,2.5,4,120,4587,B7(8EC)
dp_0139,奥迪汽车进口奥迪A4,2.5,4,132,4587,B6(8E2)
dp_0140,奥迪汽车进口奥迪A4,2.7,4,132,4587,B7(8EC)
dp_0141,奥迪汽车进口奥迪A4,2.7,4,140,4704,B8(8K)
dp_0142,奥迪汽车进口奥迪A4,2.7,4,195,4481,B5(8D)
dp_0143,奥迪汽车进口奥迪A4,2.7,5,195,4488,B5(8D)
dp_0144,奥迪汽车进口奥迪A4,2.7,5,280,4524,B5(8D)
dp_0145,奥迪汽车进口奥迪A4,2.8,4,142,4481,B5(8D)
dp_0146,奥迪汽车进口奥迪A4,2.9,5,331,4782,B9
dp_0147,奥迪汽车进口奥迪A4,3.0,4,162,4548,B6(8H7)
dp_0148,奥迪汽车进口奥迪A4,3.0,4,162,4587,B6(8E2)
dp_0149,奥迪汽车进口奥迪A4,3.0,4,171,4587,B7(8EC)
dp_0150,奥迪汽车进口奥迪A4,3.0,4,177,4704,B8(8K)
dp_0151,奥迪汽车进口奥迪A4,3.0,5,245,4717,B8(8K)
dp_0152,奥迪汽车进口奥迪A4,3.0,4,260,4749,B9(8W)
dp_0153,奥迪汽车进口奥迪A4,3.2,4,188,4587,B7(8EC)
dp_0154,奥迪汽车进口奥迪A4,3.2,4,195,4704,B8(8K)
dp_0155,奥迪汽车进口奥迪A4,4.2,4,253,4572,B6(8H7)
dp_0156,奥迪汽车进口奥迪A4,4.2,4,253,4572,B7(8HE)
dp_0157,奥迪汽车进口奥迪A4,4.2,5,253,4580,B6(8E2)
dp_0158,奥迪汽车进口奥迪A4,4.2,5,253,4580,B6(8E5)
dp_0159,奥迪汽车进口奥迪A4,4.2,5,253,4587,B7(8EC)
dp_0160,奥迪汽车进口奥迪A4,4.2,5,253,4587,B7(8ED)
dp_0161,奥迪汽车进口奥迪A4,4.2,4,309,4554,B7(8HE)
dp_0162,奥迪汽车进口奥迪A4,4.2,5,309,4587,B7(8ED)
dp_0163,奥迪汽车进口奥迪A4,4.2,4,309,4590,B7(8EC)
dp_0164,奥迪汽车进口奥迪A5,1.8,2,125,4625,8T3
dp_0165,奥迪汽车进口奥迪A5,1.8,2,130,4626,8T3
dp_0166,奥迪汽车进口奥迪A5,1.8,5,130,4712,8TA
dp_0167,奥迪汽车进口奥迪A5,2.0,5,105,4709,8TA
dp_0168,奥迪汽车进口奥迪A5,2.0,2,125,4625,8T3
dp_0169,奥迪汽车进口奥迪A5,2.0,5,125,4709,8TA
dp_0170,奥迪汽车进口奥迪A5,2.0,2,132,4625,8F7
dp_0171,奥迪汽车进口奥迪A5,2.0,2,132,4625,8T3
dp_0172,奥迪汽车进口奥迪A5,2.0,2,140,4700,F53
dp_0173,奥迪汽车进口奥迪A5,2.0,2,140,4700,F57
dp_0174,奥迪汽车进口奥迪A5,2.0,5,140,4760,F5A
dp_0175,奥迪汽车进口奥迪A5,2.0,2,155,4625,8F7
dp_0176,奥迪汽车进口奥迪A5,2.0,2,155,4625,8T3
dp_0177,奥迪汽车进口奥迪A5,2.0,2,155,4626,8F7
dp_0178,奥迪汽车进口奥迪A5,2.0,2,155,4626,8T3
dp_0179,奥迪汽车进口奥迪A5,2.0,5,155,4711,8TA
dp_0180,奥迪汽车进口奥迪A5,2.0,5,155,4712,8TA
dp_0181,奥迪汽车进口奥迪A5,2.0,2,165,4626,8F7
dp_0182,奥迪汽车进口奥迪A5,2.0,2,165,4626,8T3
dp_0183,奥迪汽车进口奥迪A5,2.0,5,165,4712,8TA
dp_0184,奥迪汽车进口奥迪A5,2.0,2,169,4626,8F7
dp_0185,奥迪汽车进口奥迪A5,2.0,2,169,4626,8T3
dp_0186,奥迪汽车进口奥迪A5,2.0,5,169,4712,8TA
dp_0187,奥迪汽车进口奥迪A5,2.0,2,185,4700,F53
dp_0188,奥迪汽车进口奥迪A5,2.0,2,185,4700,F57
dp_0189,奥迪汽车进口奥迪A5,2.0,5,185,4760,F5A
dp_0190,奥迪汽车进口奥迪A5,2.7,2,140,4625,8F7
dp_0191,奥迪汽车进口奥迪A5,2.7,2,140,4625,8T3
dp_0192,奥迪汽车进口奥迪A5,2.9,2,330,4673,F53
dp_0193,奥迪汽车进口奥迪A5,2.9,2,331,4723,F53
dp_0194,奥迪汽车进口奥迪A5,3.0,2,177,4625,8F7
dp_0195,奥迪汽车进口奥迪A5,3.0,2,177,4625,8T3
dp_0196,奥迪汽车进口奥迪A5,3.0,5,177,4709,8TA
dp_0197,奥迪汽车进口奥迪A5,3.0,2,200,4626,8T3
dp_0198,奥迪汽车进口奥迪A5,3.0,5,200,4712,8TA
dp_0199,奥迪汽车进口奥迪A5,3.0,2,245,4635,8F7
dp_0200,奥迪汽车进口奥迪A5,3.0,2,245,4636,8F7
dp_0201,奥迪汽车进口奥迪A5,3.0,2,245,4640,8F7
dp_0202,奥迪汽车进口奥迪A5,3.0,2,245,4640,8T3
dp_0203,奥迪汽车进口奥迪A5,3.0,5,245,4713,8TA
dp_0204,奥迪汽车进口奥迪A5,3.0,5,245,4718,8TA
dp_0205,奥迪汽车进口奥迪A5,3.0,2,260,4702,F53
dp_0206,奥迪汽车进口奥迪A5,3.0,2,260,4702,F57
dp_0207,奥迪汽车进口奥迪A5,3.0,5,260,4762,F5A
dp_0208,奥迪汽车进口奥迪A5,3.2,2,195,4625,8T3
dp_0209,奥迪汽车进口奥迪A5,3.2,4,195,4625,8F7
dp_0210,奥迪汽车进口奥迪A5,3.2,5,195,4709,8TA
dp_0211,奥迪汽车进口奥迪A5,4.2,2,260,4635,8T3
dp_0212,奥迪汽车进口奥迪A5,4.2,2,260,4636,8T3
dp_0213,奥迪汽车进口奥迪A5,4.2,2,331,4649,8T3
dp_0214,奥迪汽车进口奥迪A5,4.2,2,331,4651,8F7
dp_0215,奥迪汽车进口奥迪A5,4.2,2,331,,8T3
dp_0216,奥迪汽车进口奥迪A6,1.8,4,92,4796,C5(4B)
dp_0217,奥迪汽车进口奥迪A6,1.8,5,92,4796,C5(4B)
dp_0218,奥迪汽车进口奥迪A6,1.8,5,110,4796,C5(4B)
dp_0219,奥迪汽车进口奥迪A6,1.8,4,110,4798,C5(4B)
dp_0220,奥迪汽车进口奥迪A6,1.8,5,140,4947,C7(4G)
dp_0221,奥迪汽车进口奥迪A6,1.8,4,,4798,C5(4B)
dp_0222,奥迪汽车进口奥迪A6,1.9,5,81,4796,C5(4B)
dp_0223,奥迪汽车进口奥迪A6,1.9,4,85,4796,C5(4B)
dp_0224,奥迪汽车进口奥迪A6,1.9,5,85,4796,C5(4B)
dp_0225,奥迪汽车进口奥迪A6,1.9,4,96,4796,C5(4B)
dp_0226,奥迪汽车进口奥迪A6,1.9,5,96,4796,C5(4B)
dp_0227,奥迪汽车进口奥迪A6,2.0,5,96,4796,C5(4B)
dp_0228,奥迪汽车进口奥迪A6,2.0,4,96,4798,C5(4B)
dp_0229,奥迪汽车进口奥迪A6,2.0,4,100,4928,C6(4F)
dp_0230,奥迪汽车进口奥迪A6,2.0,5,100,4928,C6(4F)
dp_0231,奥迪汽车进口奥迪A6,2.0,4,103,4915,C6(4F)
dp_0232,奥迪汽车进口奥迪A6,2.0,5,103,4933,C6(4F)
dp_0233,奥迪汽车进口奥迪A6,2.0,4,125,4915,C6(4F)
dp_0234,奥迪汽车进口奥迪A6,2.0,4,125,4928,C6(4F)
dp_0235,奥迪汽车进口奥迪A6,2.0,5,125,4928,C6(4F)
dp_0236,奥迪汽车进口奥迪A6,2.0,5,125,4933,C6(4F)
dp_0237,奥迪汽车进口奥迪A6,2.0,4,130,4915,C7(4G)
dp_0238,奥迪汽车进口奥迪A6,2.0,4,155,4923,C7(4G)
dp_0239,奥迪汽车进口奥迪A6,2.0,5,185,4947,C7(4G)
dp_0240,奥迪汽车进口奥迪A6,2.4,4,121,4796,C5(4B)
dp_0241,奥迪汽车进口奥迪A6,2.4,5,121,4796,C5(4B)
dp_0242,奥迪汽车进口奥迪A6,2.4,4,125,4796,C5(4B)
dp_0243,奥迪汽车进口奥迪A6,2.4,5,125,4796,C5(4B)
dp_0244,奥迪汽车进口奥迪A6,2.4,4,125,4798,C5(4B)
dp_0245,奥迪汽车进口奥迪A6,2.4,4,130,4915,C6(4F)
dp_0246,奥迪汽车进口奥迪A6,2.4,5,130,4933,C6(4F)
dp_0247,奥迪汽车进口奥迪A6,2.5,4,110,4796,C5(4B)
dp_0248,奥迪汽车进口奥迪A6,2.5,5,110,4796,C5(4B)
dp_0249,奥迪汽车进口奥迪A6,2.5,5,114,4796,C5(4B)
dp_0250,奥迪汽车进口奥迪A6,2.5,4,114,4798,C5(4B)
dp_0251,奥迪汽车进口奥迪A6,2.5,5,120,4796,C5(4B)
dp_0252,奥迪汽车进口奥迪A6,2.5,4,120,4798,C5(4B)
dp_0253,奥迪汽车进口奥迪A6,2.5,5,132,4796,C5(4B)
dp_0254,奥迪汽车进口奥迪A6,2.5,4,132,4798,C5(4B)
dp_0255,奥迪汽车进口奥迪A6,2.7,4,132,4915,C6(4F)
dp_0256,奥迪汽车进口奥迪A6,2.7,5,132,4933,C6(4F)
dp_0257,奥迪汽车进口奥迪A6,2.7,4,140,4928,C6(4F)
dp_0258,奥迪汽车进口奥迪A6,2.7,5,140,4928,C6(4F)
dp_0259,奥迪汽车进口奥迪A6,2.7,4,169,4796,C5(4B)
dp_0260,奥迪汽车进口奥迪A6,2.7,5,169,4796,C5(4B)
dp_0261,奥迪汽车进口奥迪A6,2.7,5,184,4796,C5(4B)
dp_0262,奥迪汽车进口奥迪A6,2.7,4,184,4798,C5(4B)
dp_0263,奥迪汽车进口奥迪A6,2.7,5,184,4810,C5(4B)
dp_0264,奥迪汽车进口奥迪A6,2.8,4,140,4915,C6(4F)
dp_0265,奥迪汽车进口奥迪A6,2.8,4,140,4928,C6(4F)
dp_0266,奥迪汽车进口奥迪A6,2.8,5,140,4928,C6(4F)
dp_0267,奥迪汽车进口奥迪A6,2.8,4,142,4796,C5(4B)
dp_0268,奥迪汽车进口奥迪A6,2.8,5,142,4796,C5(4B)
dp_0269,奥迪汽车进口奥迪A6,2.8,4,154,4915,C6(4F)
dp_0270,奥迪汽车进口奥迪A6,2.8,5,154,4933,C6(4F)
dp_0271,奥迪汽车进口奥迪A6,2.8,4,162,4915,C7(4G)
dp_0272,奥迪汽车进口奥迪A6,2.8,4,162,4928,C6(4F)
dp_0273,奥迪汽车进口奥迪A6,2.8,5,162,4928,C6(4F)
dp_0274,奥迪汽车进口奥迪A6,3.0,4,150,4915,C7(4G)
dp_0275,奥迪汽车进口奥迪A6,3.0,4,162,4796,C5(4B)
dp_0276,奥迪汽车进口奥迪A6,3.0,5,162,4796,C5(4B)
dp_0277,奥迪汽车进口奥迪A6,3.0,4,162,4798,C5(4B)
dp_0278,奥迪汽车进口奥迪A6,3.0,5,165,4933,C6(4F)
dp_0279,奥迪汽车进口奥迪A6,3.0,4,165,4958,C6(4F)
dp_0280,奥迪汽车进口奥迪A6,3.0,5,176,4928,C6(4F)
dp_0281,奥迪汽车进口奥迪A6,3.0,4,180,4915,C7(4G)
dp_0282,奥迪汽车进口奥迪A6,3.0,4,213,4928,C6(4F)
dp_0283,奥迪汽车进口奥迪A6,3.0,5,213,4928,C6(4F)
dp_0284,奥迪汽车进口奥迪A6,3.0,4,220,4915,C7(4G)
dp_0285,奥迪汽车进口奥迪A6,3.0,5,245,4948,C7(4G)
dp_0286,奥迪汽车进口奥迪A6,3.2,4,188,4915,C6(4F)
dp_0287,奥迪汽车进口奥迪A6,3.2,5,188,4933,C6(4F)
dp_0288,奥迪汽车进口奥迪A6,4.0,4,309,4931,C7(4G)
dp_0289,奥迪汽车进口奥迪A6,4.0,4,331,4934,C7(4G)
dp_0290,奥迪汽车进口奥迪A6,4.0,5,412,4987,C7(4G)
dp_0291,奥迪汽车进口奥迪A6,4.2,5,220,4796,C5(4B)
dp_0292,奥迪汽车进口奥迪A6,4.2,4,220,4798,C5(4B)
dp_0293,奥迪汽车进口奥迪A6,4.2,5,220,4810,C5(4B)
dp_0294,奥迪汽车进口奥迪A6,4.2,4,246,4915,C6(4F)
dp_0295,奥迪汽车进口奥迪A6,4.2,4,246,4933,C6(4F)
dp_0296,奥迪汽车进口奥迪A6,4.2,4,250,4834,C5(4B)
dp_0297,奥迪汽车进口奥迪A6,4.2,5,250,4834,C5(4B)
dp_0298,奥迪汽车进口奥迪A6,4.2,4,257,4928,C6(4F)
dp_0299,奥迪汽车进口奥迪A6,4.2,5,257,4928,C6(4F)
dp_0300,奥迪汽车进口奥迪A6,4.2,5,331,4851,C5(4B)
dp_0301,奥迪汽车进口奥迪A6,4.2,4,331,4859,C5(4B)
dp_0302,奥迪汽车进口奥迪A6,4.2,5,350,4851,C5(4B)
dp_0303,奥迪汽车进口奥迪A6,5.0,4,426,4928,C6(4F)
dp_0304,奥迪汽车进口奥迪A6,5.0,5,426,4928,C6(4F)
dp_0305,奥迪汽车进口奥迪A6,5.2,4,320,4915,C6(4F)
dp_0306,奥迪汽车进口奥迪A6,5.2,5,320,4933,C6(4F)
dp_0307,奥迪汽车进口奥迪A6,5.2,5,320,4938,C6(4F)
dp_0308,奥迪汽车进口奥迪A7,1.8,5,140,4982,4G8
dp_0309,奥迪汽车进口奥迪A7,2.0,5,185,4982,4G8
dp_0310,奥迪汽车进口奥迪A7,2.5,5,150,4969,4G8
dp_0311,奥迪汽车进口奥迪A7,2.8,5,150,4968,4G8
dp_0312,奥迪汽车进口奥迪A7,2.8,5,150,4969,4G8
dp_0313,奥迪汽车进口奥迪A7,3.0,5,180,4968,4G8
dp_0314,奥迪汽车进口奥迪A7,3.0,5,220,4968,4G8
dp_0315,奥迪汽车进口奥迪A7,3.0,5,220,4969,4G8
dp_0316,奥迪汽车进口奥迪A7,3.0,5,220,4974,4G8
dp_0317,奥迪汽车进口奥迪A7,3.0,5,228,4969,4G8
dp_0318,奥迪汽车进口奥迪A7,3.0,5,228,4974,4G8
dp_0319,奥迪汽车进口奥迪A7,3.0,5,245,4982,4G8
dp_0320,奥迪汽车进口奥迪A7,3.0,5,250,4976,4G9
dp_0321,奥迪汽车进口奥迪A7,4.0,5,309,4980,4G8
dp_0322,奥迪汽车进口奥迪A7,4.0,5,331,4982,4G8
dp_0323,奥迪汽车进口奥迪A7,4.0,5,412,5012,4G8
dp_0324,奥迪汽车进口奥迪A7,4.0,5,445,5012,4G8
dp_0325,奥迪汽车进口奥迪A8,2.0,4,155,5267,D4(4H)
dp_0326,奥迪汽车进口奥迪A8,2.0,4,155,5268,D4(4H)
dp_0327,奥迪汽车进口奥迪A8,2.0,4,185,5268,D4(4H)
dp_0328,奥迪汽车进口奥迪A8,2.5,4,132,5034,D2(4D)
dp_0329,奥迪汽车进口奥迪A8,2.5,4,150,5267,D4(4H)
dp_0330,奥迪汽车进口奥迪A8,2.5,4,150,5268,D4(4H)
dp_0331,奥迪汽车进口奥迪A8,2.8,4,128,5034,D2(4D)
dp_0332,奥迪汽车进口奥迪A8,2.8,4,142,5034,D2(4D)
dp_0333,奥迪汽车进口奥迪A8,2.8,4,154,5034,D3(4E)
dp_0334,奥迪汽车进口奥迪A8,2.8,4,154,5192,D3(4E)
dp_0335,奥迪汽车进口奥迪A8,2.8,4,170,5192,D3(4E)
dp_0336,奥迪汽车进口奥迪A8,3.0,4,160,5181,D3(4E)
dp_0337,奥迪汽车进口奥迪A8,3.0,4,162,5181,D3(4E)
dp_0338,奥迪汽车进口奥迪A8,3.0,4,162,5182,D3(4E)
dp_0339,奥迪汽车进口奥迪A8,3.0,4,162,5192,D3(4E)
dp_0340,奥迪汽车进口奥迪A8,3.0,4,170,5192,D3(4E)
dp_0341,奥迪汽车进口奥迪A8,3.0,4,184,5052,D3(4E)
dp_0342,奥迪汽车进口奥迪A8,3.0,4,184,5062,D3(4E)
dp_0343,奥迪汽车进口奥迪A8,3.0,4,184,5192,D3(4E)
dp_0344,奥迪汽车进口奥迪A8,3.0,4,210,5302,D5
dp_0345,奥迪汽车进口奥迪A8,3.0,4,213,5267,D4(4H)
dp_0346,奥迪汽车进口奥迪A8,3.0,4,213,5268,D4(4H)
dp_0347,奥迪汽车进口奥迪A8,3.0,4,245,5267,D4(4H)
dp_0348,奥迪汽车进口奥迪A8,3.0,4,245,5268,D4(4H)
dp_0349,奥迪汽车进口奥迪A8,3.0,4,250,5302,D5
dp_0350,奥迪汽车进口奥迪A8,3.2,4,188,5062,D2(4D)
dp_0351,奥迪汽车进口奥迪A8,3.2,4,188,5062,D3(4E)
dp_0352,奥迪汽车进口奥迪A8,3.2,4,191,5062,D3(4E)
dp_0353,奥迪汽车进口奥迪A8,3.2,4,191,5192,D3(4E)
dp_0354,奥迪汽车进口奥迪A8,3.3,4,165,5034,D2(4D)
dp_0355,奥迪汽车进口奥迪A8,3.7,5,206,5051,D3(4E)
dp_0356,奥迪汽车进口奥迪A8,4.0,4,202,5182,D3(4E)
dp_0357,奥迪汽车进口奥迪A8,4.0,4,309,5267,D4(4H)
dp_0358,奥迪汽车进口奥迪A8,4.0,4,320,5268,D4(4H)
dp_0359,奥迪汽车进口奥迪A8,4.0,4,382,5146,D4(4H)
