ba05b3f264eb6598f2e8b6c2401121cc,奥迪,一汽-大众奥迪,奥迪A4L,1.8T,手动变速箱(MT),2010,A4L
4a01d5ca3964d4a9c7802e795e056cee,奥迪,奥迪(进口),奥迪A1,1.4T,双离合变速箱(DCT),2018,A1 SPORTBACK
45714a726cc8a482020248d32a586daa,奥迪,奥迪(进口),奥迪A1,1.4T,手动变速箱(MT),2012,A1
0c9474f237577d7588d275da3371b7b8,奥迪,奥迪(进口),奥迪A1,1.4T,双离合变速箱(DCT),2012,A1 SPORTBACK
eeb8ba54be74c1cbd4d6d33d660914a2,奥迪,一汽-大众奥迪,奥迪A6L,3.2,手自一体变速箱(AT),2007,A6L
880c7eb8fd1b716277599aacc7931d9a,奥迪,奥迪(进口),奥迪A1,1.4T,双离合变速箱(DCT),2011,A1 SPORTBACK
3100f185f400a2dfc206b679b5132659,奥迪,奥迪(进口),奥迪A1,1.6TD,双离合变速箱(DCT),2012,A1
e6c91fc308a56017c042637d11ff9b91,奥迪,奥迪(进口),奥迪A1,1.6TD,手动变速箱(MT),2012,A1
aadae0b67b2d21b6c96cec173c0427cf,奥迪,奥迪(进口),奥迪A1,1.6TD,手动变速箱(MT),2012,A1 SPORTBACK
0407451e800bfb322b496a8fd158ed01,奥迪,奥迪(进口),奥迪A1,1.6TD,手动变速箱(MT),2010,A1
9f0e9a2de40977eca4339ccba4e6eb88,奥迪,奥迪(进口),奥迪A1,2.0TD,手动变速箱(MT),2012,A1
ed06ac58920ddb3369473ddac8033a3b,奥迪,奥迪(进口),奥迪A1,2.0TD,手动变速箱(MT),2012,A1 SPORTBACK
34b337d51c06371f8b7df3cc99993d04,奥迪,奥迪(进口),-,1.2TD,手动变速箱(MT),2001,A2
848e4d55c1d6c8faa67103bd2b6ccbea,奥迪,奥迪(进口),-,1.4,序列变速箱,2002,A2
3705c5570a23825e64a11ee5bb3a1d9a,奥迪,奥迪(进口),-,1.4,手动变速箱(MT),2002,A2
a720c934ceb152f25cdb90e6bdb6b2a2,奥迪,奥迪(进口),-,1.4,序列变速箱,2000,A2
cd0c9a4880e9f07b0e139c7066d6f4cc,奥迪,奥迪(进口),-,1.4,手动变速箱(MT),2000,A2
7bfc690248e0b8b508861e6b9aba7e83,奥迪,奥迪(进口),-,1.4TD,手动变速箱(MT),2004,A2
a4aac5e5546310b17a172610f24ad1c8,奥迪,奥迪(进口),-,1.4TD,手动变速箱(MT),2000,A2
eb1d6eaf812d5c1d882f54c017096e13,奥迪,奥迪(进口),奥迪A3(进口),1.4T,双离合变速箱(DCT),2008,A3
c94a60282d96ea47e65377e6cc86e22f,奥迪,奥迪(进口),奥迪A3(进口),1.4T,手动变速箱(MT),2008,A3
fa5b3957cbcf248e7b08276aaee41a22,奥迪,奥迪(进口),奥迪A3(进口),1.4T,双离合变速箱(DCT),2008,A3 SPORTBACK
e99441f7ec07db134b04456c607ca63d,奥迪,奥迪(进口),奥迪A3(进口),1.4T,手动变速箱(MT),2008,A3 SPORTBACK
36c43181b37e85fd50ca71f2ee8016d4,奥迪,奥迪(进口),奥迪A3(进口),1.6,双离合变速箱(DCT),2008,A3
f4ca921712a0a9342e3ac3f3d13550f7,奥迪,奥迪(进口),奥迪A3(进口),1.6,手动变速箱(MT),2008,A3
bec77487a609d20b4c11836de4250b4a,奥迪,奥迪(进口),奥迪A3(进口),1.6,双离合变速箱(DCT),2008,A3 SPORTBACK
5d3b12d2eb8520143def2a48b19e2cb0,奥迪,奥迪(进口),奥迪A3(进口),1.6,手动变速箱(MT),2008,A3 SPORTBACK
3fcca137be5dd2e67341c0dc9a49bc85,奥迪,奥迪(进口),奥迪A3(进口),1.6,手动变速箱(MT),2004,A3 SPORTBACK
9291fc22b3a17adcb62d55560c65a362,奥迪,奥迪(进口),奥迪A3(进口),1.6,手动变速箱(MT),2003,A3
d56ec2374a10dccf4fc055de4c79e941,奥迪,奥迪(进口),奥迪A3(进口),1.6,自动变速箱(AT),2003,A3
de742941f210abfbe1ce26bc88b2243f,奥迪,奥迪(进口),奥迪A3(进口),1.6TD,手动变速箱(MT),2010,A3
835144cddb87cc0baa8f1ae299f8b287,奥迪,奥迪(进口),奥迪A3(进口),1.6TD,手动变速箱(MT),2010,A3 SPORTBACK
569da9124debe738c97c5120ab78fef5,奥迪,奥迪(进口),奥迪A3(进口),3.2,双离合变速箱(DCT),2008,A3
6ea5b12d71d051353308ea9d10386509,奥迪,奥迪(进口),奥迪A3(进口),3.2,手动变速箱(MT),2008,A3
4ff80090eca9090a7b160b174ceba679,奥迪,奥迪(进口),奥迪A3(进口),3.2,双离合变速箱(DCT),2008,A3 SPORTBACK
934d0d05f904a2bb6251cc97e8e7e40d,奥迪,奥迪(进口),奥迪A3(进口),3.2,手动变速箱(MT),2004,A3 SPORTBACK
685127606d6deb753f0b0bd38db6c67a,奥迪,奥迪(进口),奥迪A3(进口),3.2,手自一体变速箱(AT),2004,A3 SPORTBACK
586a95f720a708e262b377c17281beee,奥迪,奥迪(进口),奥迪A3(进口),3.2,手动变速箱(MT),2003,A3
57eb2c09b86f26dad121d3351ec82fe1,奥迪,奥迪(进口),奥迪A3(进口),3.2,手自一体变速箱(AT),2003,A3
7755efc89959917b9ccb3809d03d7468,奥迪,奥迪(进口),奥迪A4(进口),1.6,手动变速箱(MT),2005,A4
c51a51335474dfbcb87174998f569474,奥迪,奥迪(进口),奥迪A4(进口),1.6,手动变速箱(MT),2001,A4
6508a56c47c1f71560012f5bdcc389db,奥迪,奥迪(进口),奥迪A4(进口),1.6,手动变速箱(MT),2000,A4
6f35814d2ec6b75461b6b8c87fc01d78,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手动变速箱(MT),2008,A4
4066252b3fddc15d7279201e92ae04a8,奥迪,奥迪(进口),奥迪A4(进口),1.8T,无级变速箱(CVT),2008,A4
3bd81600a2ca09d60a3c25a202a4b495,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手自一体变速箱(AT),2005,A4
e885e26fd0d2854bcc11044536b3fd92,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手动变速箱(MT),2004,A4
03fc1b68fe7ed2f258b6d771afa3aa27,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手自一体变速箱(AT),2004,A4
375cc6c7812f6458d11dee885ce84dd8,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手动变速箱(MT),2003,A4
482cd0f302844197c34ec1dad0ef3b57,奥迪,奥迪(进口),奥迪A4(进口),1.8T,无级变速箱(CVT),2003,A4 CABRIOLET
0a8fa0b8d3cb7d9b8ecdb07b369906af,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手动变速箱(MT),2002,A4
10629d4c07f0602f62423c2d7114ef95,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手自一体变速箱(AT),2002,A4
4f5e221069bb2de1334cfda8bcee54c5,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手动变速箱(MT),2001,A4
783f6fa9268d93d8496f5898b76b9727,奥迪,奥迪(进口),奥迪A4(进口),1.8T,手自一体变速箱(AT),2001,A4
01fb61773f423b87bab421ec9bdef811,奥迪,奥迪(进口),奥迪A4(进口),1.8T,无级变速箱(CVT),2001,A4
e81d0d1d4d66657771ad021e6470e3e2,奥迪,奥迪(进口),奥迪A3(进口),2.0T,双离合变速箱(DCT),2009,A3
9b47852ed823dd985a2a5f160e4cce41,奥迪,奥迪(进口),奥迪A3(进口),2.0T,手动变速箱(MT),2009,A3
723cec97c4d393436aede325ab288e31,奥迪,奥迪(进口),奥迪A3(进口),2.0T,双离合变速箱(DCT),2008,A3 CABRIOLET
53f6d99e4ed0befe711b21f4c6d6afa0,奥迪,奥迪(进口),奥迪A3(进口),2.0T,双离合变速箱(DCT),2008,A3 SPORTBACK
4a9f1fadf8611a296e399b49eec9c0b8,奥迪,奥迪(进口),奥迪A3(进口),2.0T,手动变速箱(MT),2008,A3 SPORTBACK
4eb6880d000a6eb580f2e203a08ff411,奥迪,奥迪(进口),奥迪S3,2.0T,双离合变速箱(DCT),2008,S3
ded93a79c6e4b9d0535527fbfee1da1f,奥迪,奥迪(进口),奥迪A3(进口),2.0T,手自一体变速箱(AT),2006,A3 SPORTBACK
31973e2f44b396d17a2584976cc2ad03,奥迪,奥迪(进口),奥迪S3,2.0T,双离合变速箱(DCT),2006,S3
f7a50b7d808e86e54643bfc84533577d,奥迪,奥迪(进口),奥迪A3(进口),2.0T,手自一体变速箱(AT),2005,A3 SPORTBACK
59874ac16239480c6f8290f1a490c22c,奥迪,奥迪(进口),奥迪A3(进口),2.0T,手自一体变速箱(AT),2004,A3 SPORTBACK
fccc1b1121b6c4314937f9c22a5e197f,奥迪,奥迪(进口),奥迪A3(进口),2.0T,手动变速箱(MT),2003,A3
eb70cdf9b7ae6108d07cae4ded86a9c6,奥迪,奥迪(进口),奥迪A3(进口),2.0T,手自一体变速箱(AT),2003,A3
7bf80646bd14729c402726354533357d,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,双离合变速箱(DCT),2010,A3 SPORTBACK
c3df55ed5b68b05d6c389fb6c6971b5f,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手动变速箱(MT),2009,A3 SPORTBACK
ff6ecec19203a3610fdf29d1087c9e1f,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,双离合变速箱(DCT),2008,A3
6dfefe0239aa8e764dd59816078a0721,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手动变速箱(MT),2008,A3
35679f81933d04a6ad10334f3c1dc42e,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,双离合变速箱(DCT),2008,A3 CABRIOLET
1060affe2b1128f04bc71cfcf422e7f2,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手动变速箱(MT),2008,A3 CABRIOLET
0d1695456dda000c01d1e839be043c85,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手动变速箱(MT),2008,A3 SPORTBACK
fd5e318f482a6dfdad081ed770189a7a,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手动变速箱(MT),2006,A3
8202407741cb0ce03d92be119e5a46ee,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手自一体变速箱(AT),2006,A3
c05874b25c54f969556193ddb9fc2b4c,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手动变速箱(MT),2006,A3 SPORTBACK
0d18450c0a24ed5d9622f3c7529a3435,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手自一体变速箱(AT),2006,A3 SPORTBACK
5c5d081c2976dd175015808e6f15345a,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手自一体变速箱(AT),2005,A3 SPORTBACK
ead8ecb8caf4648c623ecb65ac358407,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手动变速箱(MT),2004,A3 SPORTBACK
32e9ac792cd54406939b158fb3270575,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手自一体变速箱(AT),2004,A3 SPORTBACK
a15a07893b17acd9f2ba2d9f1295f4a1,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手动变速箱(MT),2003,A3
8b1354c822a03849086c50a93d5a4082,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,手自一体变速箱(AT),2003,A3
30fe2fe8c55a6a3c90510c15bc72063f,奥迪,Audi Sport,奥迪RS 3,2.5T,双离合变速箱(DCT),2011,RS3 SPORTBACK
f8c1caa9631af87cbab5480e91c9b8c2,奥迪,奥迪(进口),奥迪A4(进口),1.9TD,手动变速箱(MT),2005,A4
3e79fe2067a38c7e4ef7157421b3c89b,奥迪,奥迪(进口),奥迪A4(进口),1.9TD,手动变速箱(MT),2001,A4
668494e3ffaaf01fc665a360faa01129,奥迪,奥迪(进口),奥迪A4(进口),1.9TD,手自一体变速箱(AT),2001,A4
a485f1b64b597d61b5ca9b846667f192,奥迪,奥迪(进口),奥迪A4(进口),1.9TD,无级变速箱(CVT),2001,A4
c8e239636511f251091d414ec97432d7,奥迪,奥迪(进口),奥迪A4(进口),1.9TD,手动变速箱(MT),2000,A4
2dad6b5f2a407219cec0a98af2be03c3,奥迪,奥迪(进口),奥迪A4(进口),1.9TD,手自一体变速箱(AT),2000,A4
0186bc16d2a07a88363e65fa92b0de2b,奥迪,奥迪(进口),奥迪A4(进口),2,手动变速箱(MT),2004,A4
558ed29f3b8185ad97fff6f6a0941d0a,奥迪,奥迪(进口),奥迪A4(进口),2,手动变速箱(MT),2001,A4
0117ffcba69a4935eed3b7f53afd291e,奥迪,奥迪(进口),奥迪A4(进口),2,无级变速箱(CVT),2001,A4
cca175146dade63709549f3d1eac1d68,奥迪,奥迪(进口),奥迪A3(进口),2,手自一体变速箱(AT),2004,A3 SPORTBACK
f27c77cbab5ae157abc74543081ef6fc,奥迪,奥迪(进口),奥迪A3(进口),2,手动变速箱(MT),2003,A3
95fd959d6f62b4faf011fd4760071307,奥迪,奥迪(进口),奥迪A3(进口),2,手自一体变速箱(AT),2003,A3
b1829c2831157049dc940fe5f05ae91b,奥迪,奥迪(进口),奥迪A3(进口),2,自动变速箱(AT),2003,A3
e6f6f12c1806987f27827423fa3ff56e,奥迪,奥迪(进口),奥迪A3(进口),2.0TD,双离合变速箱(DCT),2008,A3 SPORTBACK
85e624c75f1f75bbbf481b4656148105,奥迪,奥迪(进口),奥迪A4(进口),2.0T,手动变速箱(MT),2008,A4
6009b8a1cb98b68646d700b8b407634a,奥迪,奥迪(进口),奥迪A4(进口),2.0T,无级变速箱(CVT),2008,A4
1aaec6fffe4a666e17d10244930b6c8a,奥迪,奥迪(进口),奥迪A4(进口),2.0T,手动变速箱(MT),2004,A4
1026cb19b49805340902a50cfbead130,奥迪,奥迪(进口),奥迪A4(进口),2.0T,手自一体变速箱(AT),2004,A4
36d23f9d7934d1ead3890507c00811ff,奥迪,奥迪(进口),-,1.6,序列变速箱,2002,A2
c479a695902330781df1a0b694a019f3,奥迪,奥迪(进口),-,1.6,手动变速箱(MT),2002,A2
a198454d4f467aef1042d42b9fbe22c2,奥迪,奥迪(进口),奥迪A3(进口),1.8T,手动变速箱(MT),2008,A3
cb54979f2fb38ad37b1abaffb68ed03d,奥迪,奥迪(进口),奥迪A3(进口),1.8T,手自一体变速箱(AT),2008,A3
1b254c3333ab2207d174388667535e7c,奥迪,奥迪(进口),奥迪A3(进口),1.8T,双离合变速箱(DCT),2008,A3 CABRIOLET
25e9b19af5bb00cff30b5e26132e2f49,奥迪,奥迪(进口),奥迪A3(进口),1.8T,手动变速箱(MT),2008,A3 SPORTBACK
b933d72ecdd16269e6242f9302f9a41e,奥迪,奥迪(进口),奥迪A3(进口),1.8T,手自一体变速箱(AT),2008,A3 SPORTBACK
3fd7b82003732d2abf25b0b2b5ff8fd2,奥迪,奥迪(进口),奥迪S3,1.8T,手动变速箱(MT),2001,S3
caa2cbc0e3c7c888fa9df0c9d439d1c7,奥迪,奥迪(进口),奥迪A3(进口),1.9TD,手动变速箱(MT),2008,A3
c9f5e683a485eecf3844034069907775,奥迪,奥迪(进口),奥迪A3(进口),1.9TD,手自一体变速箱(AT),2008,A3
8b35806667bb64fc0e854976106df2d4,奥迪,奥迪(进口),奥迪A3(进口),1.9TD,手自一体变速箱(AT),2008,A3 CABRIOLET
73669341000554f57e204886bfd76468,奥迪,奥迪(进口),奥迪A3(进口),1.9TD,手自一体变速箱(AT),2008,A3 SPORTBACK
63f1d132be43fa7480f9571823afa4e2,奥迪,奥迪(进口),奥迪A3(进口),1.9TD,手自一体变速箱(AT),2004,A3 SPORTBACK
d087e2da0b1fbafafab0ea0122a9c348,奥迪,奥迪(进口),奥迪A3(进口),1.9TD,手动变速箱(MT),2003,A3
42e161e723d5bac39e0a3ab0f3fb3fd2,奥迪,奥迪(进口),奥迪A3(进口),1.9TD,手自一体变速箱(AT),2003,A3
d3f5dcd827c3d055012a267738f4feb7,奥迪,奥迪(进口),奥迪A3(进口),1.9TD,手动变速箱(MT),2000,A3
a63ecb9ff2ea1ee8a3318028fbc7aff6,奥迪,奥迪(进口),奥迪A3(进口),2,手动变速箱(MT),2004,A3 SPORTBACK
b8ed76af1e63b2b91c562a826c63e8d6,奥迪,奥迪(进口),奥迪A4(进口),2.0TD,手动变速箱(MT),2007,A4
419faadc404174493546d12d5e32b26a,奥迪,奥迪(进口),奥迪A4(进口),2.0TD,手动变速箱(MT),2004,A4
a332f42485c07254df8fd362257fe3de,奥迪,奥迪(进口),奥迪A4(进口),2.0TD,手自一体变速箱(AT),2004,A4
1df70498b7a43dbe2f62f68b1398d0d9,奥迪,奥迪(进口),奥迪A4(进口),2.4,手自一体变速箱(AT),2001,A4
a04af843b7560a9e134c210597c2a02c,奥迪,奥迪(进口),奥迪A4(进口),2.4,无级变速箱(CVT),2001,A4
07393abb7f626c7eccf310f95e1cd718,奥迪,奥迪(进口),奥迪A4(进口),2.5TD,手动变速箱(MT),2004,A4
fc74d3fe20392fa64b613bfeb661367f,奥迪,Audi Sport,奥迪RS 4,2.7T,手自一体变速箱(AT),2000,RS4 AVANT
cbad2a5f3ac222f537e4d6df005d36e5,奥迪,奥迪(进口),奥迪A4(进口),2.7TD,手自一体变速箱(AT),2008,A4
f901f7bb77352ce3e71a77c276d90f4f,奥迪,奥迪(进口),奥迪A4(进口),2.7TD,无级变速箱(CVT),2007,A4
40f3b1fb08725a636958e5863ab85116,奥迪,奥迪(进口),奥迪A4(进口),2.7TD,手自一体变速箱(AT),2004,A4
91d4fe90e7015833d9fd5ee4f26126cd,奥迪,奥迪(进口),奥迪A4(进口),3.2,手动变速箱(MT),2007,A4
cf682ce740518a331c31de35d527818a,奥迪,奥迪(进口),奥迪A4(进口),3.2,手动变速箱(MT),2004,A4
304589a5bb837cedbb4513491b883f17,奥迪,奥迪(进口),奥迪A4(进口),3.2,自动变速箱(AT),2004,A4
075b7be24bdbfac75dfca0dfb788fe0d,奥迪,Audi Sport,奥迪RS 4,4.2,手动变速箱(MT),2006,RS4 AVANT
ae12934200681d2a4f7a06564628db90,奥迪,Audi Sport,奥迪RS 4,4.2,手自一体变速箱(AT),2006,RS4 AVANT
195ba1e603db9f34adc8774e9bddb01a,奥迪,Audi Sport,奥迪RS 4,4.2,手动变速箱(MT),2006,RS4 CABRIOLET
56b6c5804c1843e2e748602f455b5b96,奥迪,Audi Sport,奥迪RS 4,4.2,手自一体变速箱(AT),2006,RS4 CABRIOLET
47f81c272c8fdb60ccf541524fe5a71a,奥迪,奥迪(进口),奥迪A4(进口),4.2,手动变速箱(MT),2006,S4 AVANT
565ac93fb56d5f9cc7f6cea990372c49,奥迪,奥迪(进口),奥迪A4(进口),4.2,手自一体变速箱(AT),2006,S4 AVANT
917c17d1b1d8dc8a4074bebee34c7043,奥迪,奥迪(进口),奥迪A4(进口),4.2,手动变速箱(MT),2006,S4 CABRIOLET
0ddd9c5861ed415e2cb16e6db4fdd698,奥迪,奥迪(进口),奥迪A4(进口),4.2,手自一体变速箱(AT),2006,S4 CABRIOLET
59dc738a1daeb9a3fd3fbe931b2d2bad,奥迪,Audi Sport,奥迪RS 4,4.2,手动变速箱(MT),2005,RS4
407b25297772a1f4a6dffe9ad0fbf2e2,奥迪,Audi Sport,奥迪RS 4,4.2,手自一体变速箱(AT),2005,RS4
257228a6b884e8fe9cd42816971e0ee4,奥迪,奥迪(进口),奥迪A4(进口),4.2,手自一体变速箱(AT),2005,S4
4cc76bf98053cfae36a07abe5a1fda1a,奥迪,奥迪(进口),奥迪A4(进口),4.2,手自一体变速箱(AT),2003,S4
7146595a0fdc889aaea4f57813dbf9f5,奥迪,奥迪(进口),奥迪A4(进口),4.2,手动变速箱(MT),2003,S4 AVANT
1421464552b16a384f9736a23fa2b676,奥迪,奥迪(进口),奥迪A4(进口),4.2,手自一体变速箱(AT),2003,S4 AVANT
6b39cdbc610e4959e00875c1ddd7afbe,奥迪,奥迪(进口),奥迪A4(进口),4.2,手动变速箱(MT),2003,S4 CABRIOLET
1c78e3bac42717009edc4db2e6941ed6,奥迪,奥迪(进口),奥迪A4(进口),4.2,手自一体变速箱(AT),2003,S4 CABRIOLET
02bf104fbd7009c06ffc4ab3ad228434,奥迪,奥迪(进口),奥迪A5,2.0TD,手动变速箱(MT),2009,A5 SPORTBACK
2043f1aa24df42c9fbb0c09b15a3285c,奥迪,奥迪(进口),奥迪A5,2.0TD,手动变速箱(MT),2007,A5 COUPE
e42dc9076553c605c1a17b375518a3c0,奥迪,奥迪(进口),奥迪A5,2.7TD,手动变速箱(MT),2009,A5 CABRIOLET
30d5ff39dfcbf4c9bed30c652c5c50a9,奥迪,奥迪(进口),奥迪A5,2.7TD,无级变速箱(CVT),2007,A5 COUPE
a74f46f2b70b89a08880115c717f7f0c,奥迪,奥迪(进口),奥迪A5,3.0T,双离合变速箱(DCT),2014,A5 COUPE
4a95ba61a89abe4fdc211ef59ae2a300,奥迪,奥迪(进口),奥迪A5,3.0T,双离合变速箱(DCT),2014,A5 SPORTBACK
96ecef601136587412beee2cb685a4d0,奥迪,奥迪(进口),奥迪S5,3.0T,双离合变速箱(DCT),2014,S5 CABRIOLET
28ccfc35597e8ab1f3c0edb25f49acfc,奥迪,奥迪(进口),奥迪S5,3.0T,双离合变速箱(DCT),2014,S5 COUPE
a79261d177e789ff9af294e7c5d88f1e,奥迪,奥迪(进口),奥迪S5,3.0T,双离合变速箱(DCT),2014,S5 SPORTBACK
f31cb8f049960c0c74fdc0e7a33573f6,奥迪,奥迪(进口),奥迪S5,3.0T,双离合变速箱(DCT),2009,S5 CABRIOLET
9edf510d3dcde61dcef8e13abf5f5834,奥迪,奥迪(进口),奥迪S5,3.0T,双离合变速箱(DCT),2009,S5 SPORTBACK
b0523fa91c7cf8dc9ca961b0b7cf27c5,奥迪,Audi Sport,RS5 COUPE,4.2,双离合变速箱(DCT),2010,RS5 COUPE
6ccc3a889bf280383244cba198d42456,奥迪,奥迪(进口),奥迪S5,4.2,手动变速箱(MT),2007,S5 COUPE
45e14f49e155bbb0926dcd34cf73b1b3,奥迪,奥迪(进口),奥迪S5,4.2,手自一体变速箱(AT),2007,S5 COUPE
f1b9b964bc6cdd41817efe4150b4dc58,奥迪,奥迪(进口),奥迪A6(进口),1.8T,手动变速箱(MT),2001,A6
5c9d959a2d93cddafac875cb8e130759,奥迪,奥迪(进口),奥迪A6(进口),1.8T,无级变速箱(CVT),2001,A6
03f4b8d43c66d22e3081e3b436c24d0f,奥迪,奥迪(进口),奥迪A6(进口),1.8T,自动变速箱(AT),2001,A6
31ada7130c99d0f4a4e8d26521d0aa5b,奥迪,奥迪(进口),奥迪A6(进口),1.8T,手动变速箱(MT),2001,A6 AVANT
34ff2b855d6f75153b168b8df79476fe,奥迪,奥迪(进口),奥迪A6(进口),1.8T,无级变速箱(CVT),2001,A6 AVANT
bebd4e4c92e016588c4d7392461e00cc,奥迪,奥迪(进口),奥迪A6(进口),1.8T,自动变速箱(AT),2001,A6 AVANT
0e0f00c0aa0c5fcb6107ac0ad1540a7e,奥迪,奥迪(进口),奥迪A6(进口),1.9TD,手动变速箱(MT),2001,A6
008d4612fee48973ac8185b88054e0df,奥迪,奥迪(进口),奥迪A6(进口),1.9TD,手动变速箱(MT),2001,A6 AVANT
